"filename", "language", "XML", "Properties", "HTML", "Ini", "JSON", "C#", "UnityShader", "Ink", "Markdown", "comment", "blank", "total"
"c:\Users\mattr\Isometric Alpha\Assembly-CSharp-Editor.csproj", "XML", 1138, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1140
"c:\Users\mattr\Isometric Alpha\Assembly-CSharp.csproj", "XML", 1602, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1604
"c:\Users\mattr\Isometric Alpha\Assets\Free UI build package\Script\Slide.cs", "C#", 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 4, 20
"c:\Users\mattr\Isometric Alpha\Assets\Free UI build package\Script\Togglescript.cs", "C#", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 8, 31
"c:\Users\mattr\Isometric Alpha\Assets\Glossary\DoubleHorizontal.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mattr\Isometric Alpha\Assets\Glossary\DoubleVertical.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mattr\Isometric Alpha\Assets\Glossary\QuadrupleBox.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mattr\Isometric Alpha\Assets\Glossary\QuadrupleHorizontal.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mattr\Isometric Alpha\Assets\Glossary\QuadrupleVertical.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mattr\Isometric Alpha\Assets\Glossary\SingleTarget.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mattr\Isometric Alpha\Assets\Glossary\TripleBackwardsHook.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mattr\Isometric Alpha\Assets\Glossary\TripleHook.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mattr\Isometric Alpha\Assets\Glossary\TripleHorizontal.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mattr\Isometric Alpha\Assets\Glossary\TripleVertical.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\Editor\GoldenSkull_ColorLayersEditor.cs", "C#", 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 2, 21
"c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\Editor\GoldenSkull_CustomHandleEditor.cs", "C#", 0, 0, 0, 0, 0, 56, 0, 0, 0, 18, 14, 88
"c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\GoldenSkull_ColorLayers.cs", "C#", 0, 0, 0, 0, 0, 31, 0, 0, 0, 2, 8, 41
"c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\GoldenSkull_CustomHandle.cs", "C#", 0, 0, 0, 0, 0, 41, 0, 0, 0, 3, 9, 53
"c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\GoldenSkull_Simple_Door_Interaction.cs", "C#", 0, 0, 0, 0, 0, 39, 0, 0, 0, 2, 8, 49
"c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\GoldenSkull_TilemapClearer.cs", "C#", 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 6, 24
"c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\GoldenSkull_TilemapHelper.cs", "C#", 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 8, 32
"c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\Simple_Char_Move.cs", "C#", 0, 0, 0, 0, 0, 35, 0, 0, 0, 7, 10, 52
"c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\Simple_Door_Interaction.cs", "C#", 0, 0, 0, 0, 0, 39, 0, 0, 0, 2, 8, 49
"c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\Simple_Door_Script.cs", "C#", 0, 0, 0, 0, 0, 78, 0, 0, 0, 5, 12, 95
"c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\Simple_Door_Teleport.cs", "C#", 0, 0, 0, 0, 0, 55, 0, 0, 0, 8, 10, 73
"c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\Shared\Extras\Shaders\Sprite_Additive_Build-In.shader", "UnityShader", 0, 0, 0, 0, 0, 0, 65, 0, 0, 1, 12, 78
"c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\Shared\Extras\TestChar\Scripts\GoldenSkull_Animated_Character.cs", "C#", 0, 0, 0, 0, 0, 118, 0, 0, 0, 28, 23, 169
"c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\Shared\Extras\TestChar\TestChar_Old\Scripts\GoldenSkull_Simple_Char_Move.cs", "C#", 0, 0, 0, 0, 0, 52, 0, 0, 0, 16, 17, 85
"c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\Shared\URP\Shaders\URP-SpriteAdditive.shader", "UnityShader", 0, 0, 0, 0, 0, 0, 157, 0, 0, 1, 33, 191
"c:\Users\mattr\Isometric Alpha\Assets\GoldenSkullStudios\Shared\URP\Shaders\URP-SpriteAdditive2.shader", "UnityShader", 0, 0, 0, 0, 0, 0, 214, 0, 0, 1, 48, 263
"c:\Users\mattr\Isometric Alpha\Assets\Ink\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 19, 108
"c:\Users\mattr\Isometric Alpha\Assets\Ink\Demos\Basic Demo\Ink\story.ink", "Ink", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 19
"c:\Users\mattr\Isometric Alpha\Assets\Ink\Demos\Basic Demo\Ink\story.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mattr\Isometric Alpha\Assets\Ink\Demos\Basic Demo\Scripts\BasicInkExample.cs", "C#", 0, 0, 0, 0, 0, 72, 0, 0, 0, 22, 17, 111
"c:\Users\mattr\Isometric Alpha\Assets\Ink\Demos\Basic Demo\Scripts\Editor\BasicInkExampleEditor.cs", "C#", 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 3, 27
