Date : 2025-06-04 13:45:09
Directory : c:\Users\mattr\Isometric Alpha
Total : 1007 files,  145172 codes, 11315 comments, 36935 blanks, all 193422 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C#          |        653 |     69,162 |     10,438 |     18,436 |     98,036 |
| Ini         |          2 |     26,510 |        548 |      6,902 |     33,960 |
| XML         |         28 |     16,325 |         69 |        144 |     16,538 |
| Ink         |         98 |     15,598 |          0 |      8,765 |     24,363 |
| HTML        |          6 |      9,564 |        168 |      1,680 |     11,412 |
| JSON        |        194 |      4,745 |          0 |        102 |      4,847 |
| UnityShader |         21 |      2,940 |         92 |        776 |      3,808 |
| Markdown    |          4 |        270 |          0 |        129 |        399 |
| Properties  |          1 |         58 |          0 |          1 |         59 |
+-------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                          |      1,007 |    145,172 |     11,315 |     36,935 |    193,422 |
| . (Files)                                                                                                                                  |          8 |      7,844 |          7 |          8 |      7,859 |
| Assets                                                                                                                                     |        949 |     94,529 |     10,532 |     28,171 |    133,232 |
| Assets (Files)                                                                                                                             |          3 |         83 |          3 |         18 |        104 |
| Assets\Free UI build package                                                                                                               |          2 |         37 |          2 |         12 |         51 |
| Assets\Free UI build package\Script                                                                                                        |          2 |         37 |          2 |         12 |         51 |
| Assets\Glossary                                                                                                                            |         10 |         80 |          0 |          0 |         80 |
| Assets\GoldenSkullStudios                                                                                                                  |         16 |      1,037 |         98 |        228 |      1,363 |
| Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon                                                                                       |         11 |        431 |         51 |         95 |        577 |
| Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus                                                                                 |         11 |        431 |         51 |         95 |        577 |
| Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts                                                                         |         11 |        431 |         51 |         95 |        577 |
| Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts (Files)                                                                 |          9 |        357 |         32 |         79 |        468 |
| Assets\GoldenSkullStudios\2D_Iso_Tileset_Ice-Dungeon\Bonus\Scripts\Editor                                                                  |          2 |         74 |         19 |         16 |        109 |
| Assets\GoldenSkullStudios\Shared                                                                                                           |          5 |        606 |         47 |        133 |        786 |
| Assets\GoldenSkullStudios\Shared\Extras                                                                                                    |          3 |        235 |         45 |         52 |        332 |
| Assets\GoldenSkullStudios\Shared\Extras\Shaders                                                                                            |          1 |         65 |          1 |         12 |         78 |
| Assets\GoldenSkullStudios\Shared\Extras\TestChar                                                                                           |          2 |        170 |         44 |         40 |        254 |
| Assets\GoldenSkullStudios\Shared\Extras\TestChar\Scripts                                                                                   |          1 |        118 |         28 |         23 |        169 |
| Assets\GoldenSkullStudios\Shared\Extras\TestChar\TestChar_Old                                                                              |          1 |         52 |         16 |         17 |         85 |
| Assets\GoldenSkullStudios\Shared\Extras\TestChar\TestChar_Old\Scripts                                                                      |          1 |         52 |         16 |         17 |         85 |
| Assets\GoldenSkullStudios\Shared\URP                                                                                                       |          2 |        371 |          2 |         81 |        454 |
| Assets\GoldenSkullStudios\Shared\URP\Shaders                                                                                               |          2 |        371 |          2 |         81 |        454 |
| Assets\Ink                                                                                                                                 |        125 |     19,430 |      3,274 |      4,927 |     27,631 |
| Assets\Ink (Files)                                                                                                                         |          3 |        188 |          0 |         98 |        286 |
| Assets\Ink\Demos                                                                                                                           |          5 |        122 |         23 |         23 |        168 |
| Assets\Ink\Demos\Basic Demo                                                                                                                |          5 |        122 |         23 |         23 |        168 |
| Assets\Ink\Demos\Basic Demo\Ink                                                                                                            |          2 |         20 |          0 |          0 |         20 |
| Assets\Ink\Demos\Basic Demo\Scripts                                                                                                        |          3 |        102 |         23 |         23 |        148 |
| Assets\Ink\Demos\Basic Demo\Scripts (Files)                                                                                                |          2 |         79 |         22 |         20 |        121 |
| Assets\Ink\Demos\Basic Demo\Scripts\Editor                                                                                                 |          1 |         23 |          1 |          3 |         27 |
| Assets\Ink\Editor                                                                                                                          |         18 |      5,316 |        553 |        875 |      6,744 |
| Assets\Ink\Editor (Files)                                                                                                                  |          1 |         16 |          0 |          0 |         16 |
| Assets\Ink\Editor\Core                                                                                                                     |          9 |      2,010 |        327 |        337 |      2,674 |
| Assets\Ink\Editor\Core (Files)                                                                                                             |          1 |        279 |         43 |         50 |        372 |
| Assets\Ink\Editor\Core\Compiler                                                                                                            |          3 |        804 |        123 |        130 |      1,057 |
| Assets\Ink\Editor\Core\Compiler (Files)                                                                                                    |          2 |        645 |         94 |        106 |        845 |
| Assets\Ink\Editor\Core\Compiler\Auto Compiler                                                                                              |          1 |        159 |         29 |         24 |        212 |
| Assets\Ink\Editor\Core\Ink Library                                                                                                         |          3 |        710 |        128 |        111 |        949 |
| Assets\Ink\Editor\Core\Ink Settings                                                                                                        |          2 |        217 |         33 |         46 |        296 |
| Assets\Ink\Editor\Tools                                                                                                                    |          8 |      3,290 |        226 |        538 |      4,054 |
| Assets\Ink\Editor\Tools\Build Validation                                                                                                   |          1 |         51 |          6 |          5 |         62 |
| Assets\Ink\Editor\Tools\File Icons                                                                                                         |          1 |        172 |          4 |         13 |        189 |
| Assets\Ink\Editor\Tools\Ink Inspector                                                                                                      |          3 |        447 |         31 |         63 |        541 |
| Assets\Ink\Editor\Tools\Player Window                                                                                                      |          2 |      2,529 |        185 |        437 |      3,151 |
| Assets\Ink\Editor\Tools\Startup Window                                                                                                     |          1 |         91 |          0 |         20 |        111 |
| Assets\Ink\InkLibs                                                                                                                         |         99 |     13,804 |      2,698 |      3,931 |     20,433 |
| Assets\Ink\InkLibs (Files)                                                                                                                 |          1 |          6 |          0 |          0 |          6 |
| Assets\Ink\InkLibs\InkCompiler                                                                                                             |         64 |      6,744 |      1,124 |      2,071 |      9,939 |
| Assets\Ink\InkLibs\InkCompiler (Files)                                                                                                     |          7 |        334 |         31 |         81 |        446 |
| Assets\Ink\InkLibs\InkCompiler\InkParser                                                                                                   |         17 |      2,183 |        339 |        763 |      3,285 |
| Assets\Ink\InkLibs\InkCompiler\ParsedHierarchy                                                                                             |         36 |      3,533 |        684 |      1,042 |      5,259 |
| Assets\Ink\InkLibs\InkCompiler\Plugins                                                                                                     |          2 |         65 |          6 |         20 |         91 |
| Assets\Ink\InkLibs\InkCompiler\StringParser                                                                                                |          2 |        629 |         64 |        165 |        858 |
| Assets\Ink\InkLibs\InkRuntime                                                                                                              |         34 |      7,054 |      1,574 |      1,860 |     10,488 |
| Assets\OutlineForSprites                                                                                                                   |          2 |        217 |          7 |         47 |        271 |
| Assets\OutlineForSprites (Files)                                                                                                           |          1 |         47 |          0 |         10 |         57 |
| Assets\OutlineForSprites\Resources                                                                                                         |          1 |        170 |          7 |         37 |        214 |
| Assets\Perks                                                                                                                               |         29 |        174 |          0 |          0 |        174 |
| Assets\Perks\StatPerks                                                                                                                     |         29 |        174 |          0 |          0 |        174 |
| Assets\Perks\StatPerks\Charisma                                                                                                            |          7 |         42 |          0 |          0 |         42 |
| Assets\Perks\StatPerks\Dexterity                                                                                                           |          6 |         36 |          0 |          0 |         36 |
| Assets\Perks\StatPerks\Strength                                                                                                            |          8 |         48 |          0 |          0 |         48 |
| Assets\Perks\StatPerks\Wisdom                                                                                                              |          8 |         48 |          0 |          0 |         48 |
| Assets\Prefabs                                                                                                                             |         22 |      1,869 |          0 |        996 |      2,865 |
| Assets\Prefabs (Files)                                                                                                                     |          2 |         87 |          0 |         67 |        154 |
| Assets\Prefabs\Dialogue                                                                                                                    |          2 |         80 |          0 |         64 |        144 |
| Assets\Prefabs\DialogueListInkAssets                                                                                                       |         12 |      1,485 |          0 |        746 |      2,231 |
| Assets\Prefabs\DialogueListInkAssets\Resources                                                                                             |         12 |      1,485 |          0 |        746 |      2,231 |
| Assets\Prefabs\VaultableDialogues                                                                                                          |          2 |         52 |          0 |         22 |         74 |
| Assets\Prefabs\VaultableObjects                                                                                                            |          4 |        165 |          0 |         97 |        262 |
| Assets\Quests                                                                                                                              |         20 |        416 |          0 |         47 |        463 |
| Assets\RedBlueGames                                                                                                                        |         81 |     11,457 |      3,613 |      1,751 |     16,821 |
| Assets\RedBlueGames\MulliganRenamer                                                                                                        |         81 |     11,457 |      3,613 |      1,751 |     16,821 |
| Assets\RedBlueGames\MulliganRenamer (Files)                                                                                                |          3 |        110 |          0 |         32 |        142 |
| Assets\RedBlueGames\MulliganRenamer\Editor                                                                                                 |         78 |     11,347 |      3,613 |      1,719 |     16,679 |
| Assets\RedBlueGames\MulliganRenamer\Editor (Files)                                                                                         |          1 |          7 |         23 |          1 |         31 |
| Assets\RedBlueGames\MulliganRenamer\Editor\ExtensionsAndUtilities                                                                          |         12 |        764 |        425 |        125 |      1,314 |
| Assets\RedBlueGames\MulliganRenamer\Editor\GUI                                                                                             |          5 |      2,474 |        307 |        557 |      3,338 |
| Assets\RedBlueGames\MulliganRenamer\Editor\Localization                                                                                    |          5 |        504 |        172 |         92 |        768 |
